City_ID,City,Country,Max Temp,Weather Des,Lat,Lng,Hotel Name
1,Sao Filipe,CV,69.91,clear sky,14.8961,-24.4956,Tortuga B&B
5,Qianan,CN,42.91,clear sky,44.9932,124.0581,Qian'an Hotel
6,Ribeira Grande,PT,62.6,scattered clouds,38.5167,-28.7,Quinta da Meia Eira
7,Busselton,AU,60.01,clear sky,-33.65,115.3333,Observatory Guest House
10,Lasa,IT,68.0,clear sky,46.6166,10.7002,Pension Feldgärtenhof
12,Bluff,NZ,53.01,overcast clouds,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
13,East London,ZA,66.2,few clouds,-33.0153,27.9116,Tu Casa
14,Hilo,US,66.2,moderate rain,19.7297,-155.09,Hilo Hawaiian Hotel
21,Kapaa,US,73.0,overcast clouds,22.0752,-159.319,Sheraton Kauai Resort at Coconut Beach
22,Azogues,EC,66.2,light rain,-2.7333,-78.8333,Hotel Ceasar Palace
24,Bethel,US,50.0,light rain,41.3712,-73.414,Courtyard by Marriott Danbury
29,Rabo De Peixe,PT,60.8,few clouds,37.8,-25.5833,Quinta das Giestas
30,Port Alfred,ZA,66.43,overcast clouds,-33.5906,26.891,The Halyards Hotel
34,Goderich,CA,42.8,overcast clouds,43.7501,-81.7165,Harmony Inn
36,Port Elizabeth,ZA,66.2,clear sky,-33.918,25.5701,39 On Nile Guest House
37,Lazurne,UA,51.8,clear sky,46.084,32.5295,New Manna Hostel
38,Pisco,PE,73.0,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
42,Mataura,NZ,53.01,overcast clouds,-46.1927,168.8643,Ellie's Villa
44,Jamestown,US,52.0,light rain,42.097,-79.2353,Hampton Inn & Suites Jamestown
46,Punta Arenas,CL,51.8,clear sky,-53.15,-70.9167,Hotel Dreams Del Estrecho
47,Ushuaia,AR,46.4,scattered clouds,-54.8,-68.3,Albatros Hotel
51,Oranjemund,,65.32,clear sky,-28.55,16.4333,The Fisherman's Cove
54,Madison,US,61.0,overcast clouds,34.7334,-86.5667,Embassy Suites by Hilton Huntsville Hotel & Spa
56,Jarva-Jaani,EE,41.14,broken clouds,59.0386,25.8864,Järva-Jaani Hostel
61,Nelspruit,ZA,69.8,broken clouds,-25.4745,30.9703,Leaves Lodge and Spa
62,Makakilo City,US,73.4,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
64,Moree,AU,60.8,clear sky,-29.4667,149.85,Molika Springs Motel
65,Filadelfia,US,60.01,overcast clouds,39.9523,-75.1638,"The Ritz-Carlton, Philadelphia"
71,Ancud,CL,64.4,few clouds,-41.8697,-73.8203,Hotel Arena Gruesa
72,Lebu,CL,63.3,clear sky,-37.6167,-73.65,Hostal Las Lilas
77,Esperance,AU,68.0,clear sky,-33.8667,121.9,Hospitality Esperance
78,Hobart,AU,55.4,broken clouds,-42.8794,147.3294,Mantra on Collins Hobart
79,Ponta Do Sol,PT,68.0,few clouds,32.6667,-17.1,Hotel do Campo
80,Nikolskoye,RU,45.0,light rain,59.7035,30.7861,Tourist House - Sablino
82,Luderitz,,67.57,clear sky,-26.6481,15.1594,LÜDERITZ NEST HOTEL
86,Roald,NO,44.6,broken clouds,62.5833,6.1333,Flem Cabins
87,Comodoro Rivadavia,AR,66.2,clear sky,-45.8667,-67.5,Austral Hotel
92,Faya,SA,71.6,clear sky,18.3851,42.4509,مقبرة ال مجمل
96,Slave Lake,CA,44.6,few clouds,55.2834,-114.769,Super 8 by Wyndham Slave Lake AB
97,Mauguio,FR,66.2,clear sky,43.6181,4.0074,Golf Spa Hotel Montpellier Massane
100,Waipawa,NZ,62.6,moderate rain,-41.4122,175.5153,Tora Coastal Walk
101,Nishihara,JP,71.6,broken clouds,26.1842,127.7558,Minshuku Agaihama
103,New Norfolk,AU,55.0,broken clouds,-42.7826,147.0587,The Shingles Riverside Cottages
110,Hermanus,ZA,70.0,overcast clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
114,Svetlogorsk,BY,41.81,overcast clouds,52.6333,29.7333,Hotel Svetlogorsk JBIK
115,Rognan,NO,42.8,broken clouds,67.0953,15.3878,Rognan Hotell
118,Camacha,PT,66.2,scattered clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
120,Lagoa,PT,59.16,overcast clouds,39.05,-27.9833,Casa Das Faias
126,Bredasdorp,ZA,68.0,overcast clouds,-34.5322,20.0403,Bredasdorp Country Manor
128,Flinders,AU,60.01,broken clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
131,Portland,US,48.2,broken clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
133,San Patricio,US,66.0,overcast clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
135,Praia,CV,73.4,few clouds,14.9215,-23.5087,LT Aparthotel
143,Sandpoint,US,46.0,clear sky,48.2766,-116.5533,La Quinta Inn by Wyndham Sandpoint
145,Otane,NZ,66.99,overcast clouds,-39.8833,176.6333,Ludlow Farmstay
152,Casas Grandes,MX,55.99,clear sky,30.3667,-107.95,Pueblo del Soul B&B
153,Despotovac,RS,52.0,overcast clouds,44.0925,21.4469,Коначиште Ресава
154,Carmarthen,GB,50.0,overcast clouds,51.8555,-4.3054,Ivy Bush Royal Hotel by Compass Hospitality
155,Ahipara,NZ,65.66,moderate rain,-35.1667,173.1667,Ahipara Holiday Park
158,Saint George,US,55.0,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
161,El Sauzal,MX,63.0,clear sky,31.9,-116.6833,La Rosas Hotel & Spa
164,Millington,US,59.0,scattered clouds,35.3415,-89.8973,Holiday Inn Express & Suites Millington-Memphis Area
165,Katobu,ID,74.62,overcast clouds,-4.9408,122.5276,La Ode Husein
166,Mount Gambier,AU,55.4,overcast clouds,-37.8333,140.7667,Commodore on the Park
171,Kruisfontein,ZA,64.99,overcast clouds,-34.0033,24.7314,Oyster Bay House Rental
173,Pecos,US,59.0,clear sky,31.4229,-103.4932,Knights Inn Pecos
175,Bud,US,42.01,overcast clouds,39.447,-86.1758,Ted McQuinn Trust
176,Praia Da Vitoria,PT,64.4,scattered clouds,38.7333,-27.0667,Hotel Branco I
178,Laguna,US,60.01,clear sky,38.421,-121.4238,Holiday Inn Express & Suites Elk Grove Central - Hwy 99
181,Charters Towers,AU,70.57,clear sky,-20.1,146.2667,Cattleman's Rest Motor Inn
187,Saiha,IN,68.61,overcast clouds,22.4833,92.9667,"Circuit House, Siaha"
190,Pulandian,CN,46.0,dust,39.3953,121.9669,HR East Hotel
191,Mastic Beach,US,54.0,moderate rain,40.7668,-72.8521,Brushwood House by Smith Point Beach
192,Riyadh,SA,69.8,clear sky,24.6877,46.7219,InterContinental Riyadh
193,Tarrafal,CV,73.4,few clouds,15.2833,-23.7667,Hotel Ixola
194,Mar Del Plata,AR,68.0,light rain,-38.0023,-57.5575,Gran Hotel Mar del Plata
195,Klaksvik,FO,41.0,scattered clouds,62.2266,-6.589,Airbnb rooms
197,Asau,RO,42.01,broken clouds,46.4333,26.4,Casa Mika Ciobanus
201,Los Llanos De Aridane,ES,68.0,few clouds,28.6585,-17.9182,Valle Aridane
202,Yarim,YE,58.87,scattered clouds,14.298,44.3779,وليد المسوري ابو اسد
209,Sakakah,SA,68.0,clear sky,29.9697,40.2064,Fakhamat Al Orjoana Apartment
211,Noumea,NC,71.6,broken clouds,-22.2763,166.4572,Hôtel Le Lagon
212,Hasaki,JP,62.6,moderate rain,35.7333,140.8333,Hotel Sunrise Choshi
213,Broome,US,53.01,overcast clouds,42.2506,-75.833,Chenango Valley State Park
217,Soe,ID,66.15,overcast clouds,-9.8607,124.284,Dena Hotel
219,Mazatlan,MX,68.0,broken clouds,23.2167,-106.4167,Hotel Club Playamar
222,Mutsu,JP,51.8,moderate rain,41.2894,141.2169,Mutsu Park Hotel
227,Mildura,AU,60.8,clear sky,-34.2,142.15,Mercure Hotel Mildura
229,Jumla,NP,48.79,overcast clouds,29.2747,82.1838,"अन्नी घर, जुम्ला - Anni Ghar"
233,Hokitika,NZ,59.43,broken clouds,-42.7167,170.9667,Beachfront Hotel Hokitika
237,Zhangye,CN,46.24,few clouds,38.9342,100.4517,Zhangye Lvzhou Holiday Inn
238,Gat,IL,62.01,few clouds,31.61,34.7642,OlusHome
244,Geraldton,AU,69.8,scattered clouds,-28.7667,114.6,Broadwater Mariner Resort
247,Dunedin,NZ,54.0,overcast clouds,-45.8742,170.5036,Scenic Hotel Southern Cross
248,Vila,PT,72.0,clear sky,42.0304,-8.1588,Hotel Castrum Villae by Walk Hotels
249,Half Moon Bay,US,59.0,few clouds,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
250,Umm Lajj,SA,73.76,clear sky,25.0213,37.2685,Moon light Furnished Units
257,Margate,GB,54.0,overcast clouds,51.3813,1.3862,Premier Inn Margate hotel
264,Dabat,ET,65.64,overcast clouds,12.9842,37.765,Haymanot hotel
266,Arica,CL,73.4,clear sky,-18.475,-70.3042,Hostal Jardin Del Sol
268,Brae,GB,46.4,few clouds,60.3964,-1.353,Busta House Hotel
271,Broken Hill,AU,60.8,clear sky,-31.95,141.4333,Royal Exchange Hotel
273,Itoman,JP,71.6,broken clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
276,Chiriqui Grande,PA,73.99,broken clouds,8.95,-82.1167,Hotel Atlantic
282,Khandbari,NP,64.51,clear sky,27.3747,87.2039,Sainik Hotel And Lodge
283,Pasighat,IN,74.89,clear sky,28.0667,95.3333,Siang Guest House
289,Gravdal,NO,41.0,clear sky,68.1214,13.5031,Skreda Rorbusuiter
290,Sukhumi,GE,44.4,few clouds,43.0033,41.0153,Ritsa Hotel
291,Coos Bay,US,46.4,overcast clouds,43.3665,-124.2179,Best Western Holiday Hotel
292,Seddon,AU,61.0,clear sky,-37.8068,144.8916,Footscray Motor Inn
295,Sabha,LY,72.86,broken clouds,27.0377,14.4283,Foundation Taaj Asala for Historical Research and Archeology
297,Takaka,NZ,63.0,overcast clouds,-40.85,172.8,Golden Bay Motels
298,Sonoita,MX,70.0,clear sky,31.85,-112.8333,Hotel Nora
299,Mizdah,LY,70.95,overcast clouds,31.4451,12.9801,محمدالمبروك الاريقط
301,Lompoc,US,62.01,clear sky,34.6391,-120.4579,Holiday Inn Express Lompoc
302,Arkhangelsk,RU,42.8,light rain,64.5401,40.5433,DVINA HOTEL
305,Winnemucca,US,53.6,clear sky,40.973,-117.7357,Winners Inn Casino
306,Canon City,US,54.0,clear sky,38.441,-105.2424,Travel Inn Motel
313,Dumas,US,53.6,clear sky,35.8656,-101.9732,Holiday Inn Express & Suites Dumas
318,Tuatapere,NZ,53.01,light rain,-46.1333,167.6833,Ron and Tony's Bed & Breakfast
319,Buraydah,SA,68.0,clear sky,26.326,43.975,فندق راحة السلام
320,Cidreira,BR,74.39,overcast clouds,-30.1811,-50.2056,Hotel Castelo
324,Cabo San Lucas,MX,75.0,broken clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
326,Mazara Del Vallo,IT,62.6,few clouds,37.6641,12.588,Vizier Resort & Spa
334,Dakar,SN,73.4,clear sky,14.6937,-17.4441,Redface Studios Meublés
336,Mahon,ES,60.8,clear sky,39.8885,4.2658,ARTIEM Capri
337,Natchitoches,US,62.6,clear sky,31.7668,-93.1335,Super 8 by Wyndham Natchitoches
340,Ponta Delgada,PT,60.8,few clouds,37.7333,-25.6667,Vila Nova Hotel
341,Alice Springs,AU,69.8,broken clouds,-23.7,133.8833,Desert Palms Alice Springs
342,Airai,TL,60.03,overcast clouds,-8.9266,125.4092,Juvinal Martin
346,Shetpe,KZ,41.58,broken clouds,44.1667,52.1167,Rtsm Shetpe Analog
348,Collie,AU,60.01,clear sky,-33.3667,116.15,Collie Ridge
355,Bereda,ES,73.0,clear sky,43.2686,-7.5406,Pazo de Verdes
364,Skibbereen,IE,51.8,overcast clouds,51.55,-9.2667,The West Cork Hotel
367,Ojinaga,MX,64.4,clear sky,29.5667,-104.4167,Suites Las Palmas
368,Linxia,CN,48.96,broken clouds,35.6003,103.2064,GreenTree Inn Linxia Autonomous Prefecture Linxia Oxford River Avenue Express Hotel
370,Ebreichsdorf,AT,57.2,broken clouds,47.95,16.4,Sporthotel Ebreichsdorf
378,Ixtapa,MX,73.4,scattered clouds,20.7,-105.2,Hotel Plaza Providencia
380,Hakodate,JP,51.8,light rain,41.7758,140.7367,Four Points by Sheraton Hakodate
381,Beaucaire,FR,69.01,clear sky,43.8081,4.6442,HOTEL LES VIGNES BLANCHES
385,North Bend,US,46.4,overcast clouds,43.4065,-124.2243,Red Lion Hotel Coos Bay
387,Coquimbo,CL,60.8,overcast clouds,-29.9533,-71.3436,Punto de encuentro
391,Den Helder,NL,46.99,drizzle,52.9599,4.7593,Hotel Den Helder
397,Westport,US,48.99,moderate rain,41.1415,-73.3579,The Westport Inn
398,Codrington,AU,55.9,few clouds,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
403,Warrensburg,US,48.99,clear sky,38.7628,-93.7361,Comfort Inn Warrensburg Station
405,Walvis Bay,,69.8,scattered clouds,-22.9575,14.5053,Oyster Box Guesthouse
410,Nara,JP,60.01,overcast clouds,34.6851,135.8049,Guesthouse Nara Komachi
412,Huilong,CN,64.99,clear sky,31.8111,121.655,Hilton Garden Inn Qidong
413,San Carlos De Bariloche,AR,73.0,clear sky,-41.1456,-71.3082,Hotel Patagonia
414,Chuy,UY,70.65,broken clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
416,Scarborough,GB,59.0,overcast clouds,54.2797,-0.4044,Ambassador
419,Penzance,GB,51.8,overcast clouds,50.1186,-5.5371,Artist Residence Penzance
420,Xiuyan,CN,46.81,clear sky,40.2928,123.2744,Helin Holiday Hotel
422,Lundazi,ZM,66.83,moderate rain,-12.2929,33.1782,"Stones Hotel, Lundazi"
423,Byron Bay,AU,66.2,broken clouds,-28.65,153.6167,Backpackers Inn on the Beach
424,Masty,BY,46.4,broken clouds,53.4122,24.5387,Gostinitsa Masty
425,Yuxia,CN,64.4,dust,34.0615,108.6291,Shanchengxuan Hotel
426,Pierre,US,44.01,clear sky,44.3683,-100.351,Ramkota Hotel
428,Kaitangata,NZ,53.51,overcast clouds,-46.2817,169.8464,Kaitangata Motor Camp
430,Sorland,NO,41.0,clear sky,67.667,12.6934,Sjybrygga fiskecamp
431,Iberia,US,69.8,overcast clouds,29.9502,-91.7507,back to back rv park
433,Cochabamba,BO,71.6,scattered clouds,-17.3895,-66.1568,Violetta's Apart Hotel
438,Tocopilla,CL,72.09,clear sky,-22.092,-70.1979,Hotel Galvarino
441,Rocha,UY,69.17,broken clouds,-34.4833,-54.3333,Beleza Pura B&B
443,Xichang,CN,58.6,clear sky,27.8964,102.2634,Xichang ibis Hotel
444,Hambantota,LK,73.4,broken clouds,6.1241,81.1185,Bungalow 63
447,Mwense,ZM,70.45,scattered clouds,-10.3845,28.698,Mwense Council Guest House
448,Rawson,AR,70.65,broken clouds,-43.3002,-65.1023,Hosteria Sampedro
449,Jalu,LY,69.28,clear sky,29.0331,21.5482,صاحبة الفخامة
453,Kathmandu,NP,60.8,haze,27.7167,85.3167,Hotel Shanker Kathmandu
459,Kropotkin,RU,46.0,moderate rain,45.4375,40.5756,Hotel Europe Kropotkin
462,Santa Fe,AR,66.99,overcast clouds,-31.6333,-60.7,Conquistador Hotel
464,Shakhtne,UA,42.71,overcast clouds,47.9828,38.282,Turagenstvo Zezon Otpyska
467,Gwanda,ZW,71.98,clear sky,-20.9333,29.0,Mafax Homeways
469,Rantepao,ID,67.96,light rain,-2.9701,119.8978,Hotel Luta Resort
471,Balkanabat,TM,48.15,broken clouds,39.5108,54.3671,Nebitchi Hotel
474,Henties Bay,,64.0,clear sky,-22.116,14.2845,Fishermans Guest House
475,Bella Union,UY,72.12,few clouds,-30.2752,-57.6007,Hotel Oriente
476,Nongpoh,IN,71.6,haze,25.9,91.8833,PWD IB
482,Kapit,MY,73.85,moderate rain,2.0167,112.9333,Hotel Meligai Kapit
483,Balykshi,KZ,41.0,broken clouds,47.0667,51.8667,Гостиница Golden Rose
484,Khani,GE,46.4,scattered clouds,41.9563,42.9566,კურორტი ზეკარი/Resort Zekari
485,Constitucion,CL,69.35,clear sky,-35.3333,-72.4167,Hotel Boutique Las Azucenas
486,Burnie,AU,52.16,few clouds,-41.0667,145.9167,Beachfront Voyager Motor Inn
491,Patacamaya,BO,55.47,broken clouds,-17.2333,-67.9167,GARAJE EVA LA TRAILERA
493,Katsuura,JP,62.01,light rain,35.1333,140.3,Katsuura Hotel Mikazuki
495,Port Augusta,AU,62.6,clear sky,-32.5,137.7667,Majestic Oasis Apartments
500,Shimoda,JP,64.4,mist,34.6667,138.95,Shimoda Tokyu Hotel
503,Lichuan,CN,53.65,light rain,30.3,108.85,Yicheng Hotel
504,Feicheng,CN,54.05,broken clouds,35.2606,117.9675,Royal Garden Hotel
508,Turayf,SA,62.6,clear sky,31.6725,38.6637,Swiss Spirit Hotel & Suites Turaif
514,Fukue,JP,59.74,clear sky,32.6881,128.8419,Goto Guesthouse Utojuku & SA Car Rental
519,Constancia,MX,69.8,scattered clouds,24.2231,-107.1869,Mi casa
521,Corinth,GR,62.01,few clouds,37.9407,22.9573,Ephira Hotel
527,Sal Rei,CV,73.4,scattered clouds,16.1833,-22.9167,Marine Club Beach Resort
530,Hirtshals,DK,46.0,mist,57.5881,9.9592,Montra Skaga Hotel
531,Necochea,AR,69.01,broken clouds,-38.5473,-58.7368,dyd -mar Hotel
534,Pimampiro,EC,69.98,broken clouds,0.4,-77.9667,Jireh Casa Hostal
538,Mackay,AU,73.4,scattered clouds,-21.15,149.2,International Lodge Motel
543,Abha,SA,71.6,clear sky,18.2164,42.5053,Abha Hotel
546,Ankang,CN,65.44,clear sky,32.68,109.0172,安琪酒店
550,Atambua,ID,73.78,light rain,-9.1061,124.8925,Pastori 1 Jemaat Polycarpus
553,Nkowakowa,ZA,64.4,light rain,-23.8878,30.2871,Moytel 966A Guest House & Spa
556,Funabashi,JP,61.0,heavy intensity rain,35.6931,139.9833,Borgen
557,San Quintin,MX,69.04,clear sky,30.4833,-115.95,Old Mill Hotel
560,Arrecife,ES,68.0,scattered clouds,28.963,-13.5477,Hotel Lancelot
563,Chipinge,ZW,63.5,few clouds,-20.1883,32.6236,Chipinge Breeze Lodge
564,Sanok,PL,46.0,broken clouds,49.5557,22.2056,"""Jagielloński"" Hotel i Restauracja"
565,Zhanjiang,CN,74.8,clear sky,21.2815,110.3427,创业旅店
567,Doha,QA,71.6,clear sky,25.2867,51.5333,Doha Marriott Hotel
568,San Angelo,US,62.01,clear sky,31.4638,-100.437,"Motel 6 San Angelo, TX"
573,Fushan,CN,50.4,scattered clouds,37.4958,121.2581,YanTai OceanHill Hotel
574,Port Lincoln,AU,60.64,clear sky,-34.7333,135.8667,Port Lincoln Hotel
575,Kawasaki,JP,62.01,moderate rain,35.5206,139.7172,Toyoko INN Kawasaki-Ekimae Shiyakusho-dori
578,Carhuamayo,PE,49.17,overcast clouds,-10.9167,-76.0333,Hospedaje Santa Rosa
579,Tabuk,PH,74.59,broken clouds,17.4189,121.4443,Golden Berries Hotel and Convention
582,Safaga,EG,73.4,clear sky,26.7292,33.9365,Lamar Resort Abu Soma
585,Rudsar,IR,50.0,scattered clouds,37.1376,50.288,Hotel Bahar
592,Kalofer,BG,64.4,broken clouds,42.6167,24.9833,Family Hotel George
593,Ngunguru,NZ,64.99,light rain,-35.6167,174.5,Pacific Rendezvous Motel Resort
594,Abu Kamal,SY,60.4,clear sky,34.4506,40.9171,محطة التلفاز
597,Ifakara,TZ,74.55,broken clouds,-8.1333,36.6833,Tanzanian Training Centre for International Health
598,Mercedes,AR,73.0,overcast clouds,-34.6515,-59.4307,Posada del Inti Centro
599,Ushtobe,KZ,52.27,overcast clouds,45.2514,77.9838,"Gostinitsa ""Diyar"""
600,Guerrero Negro,MX,69.4,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
601,Kawalu,ID,73.69,overcast clouds,-7.3817,108.2082,KOSAN UNGU UNSIK
602,Metkovic,HR,64.4,scattered clouds,43.0542,17.6483,Neretva Valley Apartments
605,Casper,US,42.01,clear sky,42.8666,-106.3131,Ramkota Hotel
608,Cuamba,MZ,70.29,light rain,-14.8031,36.5372,Hotel Vision
611,Seoul,KR,50.0,mist,37.5683,126.9778,Lotte Hotel Seoul
613,Willowmore,ZA,68.77,overcast clouds,-33.2926,23.4895,Jumper's Place
620,Barth,DE,48.99,light rain,54.3635,12.7249,gut-Hotel Pommernhotel Barth
621,San Clemente,US,69.01,clear sky,33.427,-117.612,Casablanca Inn
622,Pacific Grove,US,55.4,clear sky,36.6177,-121.9166,Lovers Point Inn
624,Mumbwa,ZM,70.65,broken clouds,-14.9783,27.0619,Mumbwa Motel
626,Auxerre,FR,64.0,overcast clouds,47.8,3.5667,Hôtel Les Maréchaux
627,Juegang,CN,57.69,clear sky,32.3174,121.1855,Rudong Y Hotel
628,Port Pirie,AU,62.6,clear sky,-33.1833,138.0167,John Pirie Motor Inn
630,Laramie,US,41.0,clear sky,41.3114,-105.5911,Fairfield Inn & Suites by Marriott Laramie
635,Aksu,CN,60.42,overcast clouds,41.1231,80.2644,Pudong Holiday Hotel
636,Raudeberg,NO,44.01,overcast clouds,61.9875,5.1352,Nordre Silda.
637,Kirkcudbright,GB,46.99,overcast clouds,54.8383,-4.0491,The Selkirk Arms
640,Shingu,JP,60.51,broken clouds,33.7333,135.9833,Shingu UI Hotel
641,Binzhou,CN,55.99,broken clouds,37.3667,118.0167,Hampton By Hilton Binzhou
642,Aksay,RU,48.2,few clouds,47.26,39.87,Chernaya Zhemchuzhina
643,Tighina,MD,46.4,light rain,46.8306,29.4711,Солнце
647,Port Macquarie,AU,64.0,overcast clouds,-31.4333,152.9167,Rydges Port Macquarie
651,Hillsboro,US,46.99,clear sky,45.5229,-122.9898,Econo Lodge Inn & Suites Hillsboro - Portland West
652,Empangeni,ZA,67.1,broken clouds,-28.762,31.8933,Peermont Metcourt Hotel at Umfolozi
653,Simao,CN,64.72,clear sky,22.7886,100.9748,Changyu Hotel
656,Beyneu,KZ,42.24,broken clouds,45.3167,55.2,NUR
657,Show Low,US,48.99,clear sky,34.2542,-110.0298,Hampton Inn & Suites Show Low-Pinetop
658,Apatin,RS,55.4,clear sky,45.6711,18.9847,ART Hostel
664,Zanesville,US,55.4,overcast clouds,39.9404,-82.0132,Holiday Inn Express & Suites Zanesville North
669,Plettenberg Bay,ZA,65.44,overcast clouds,-34.0527,23.3716,Thanda Vista B&B
672,Waqqas,JO,60.8,clear sky,32.5427,35.6053,Jordan EcoPark
673,Damghan,IR,42.55,clear sky,36.1683,54.348,خوابگاه اساتيد دانشگاه دامغان
674,Marienberg,DE,52.0,overcast clouds,50.65,13.1667,Hotel Weißes Roß Marienberg
675,Carovigno,IT,64.4,clear sky,40.708,17.655,Hotel Resort Corte di Ferro Puglia Hotels
676,Coolum Beach,AU,68.0,overcast clouds,-26.5333,153.1,Palmer Coolum Resort
677,Batemans Bay,AU,57.99,overcast clouds,-35.7167,150.1833,Batemans Bay Marina Resort
678,Soller,ES,69.8,clear sky,39.7662,2.7152,Hotel Marina & Wellness Spa
680,Juli,PE,48.87,overcast clouds,-16.2167,-69.45,Cordelius Turistico
