City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Ushuaia,AR,2021-03-26 20:05:43,-54.8,-68.3,51.8,54,40,8.05
1,Fare,PF,2021-03-26 20:05:43,-16.7,-151.0167,83.05,73,6,23.09
2,East London,ZA,2021-03-26 20:05:44,-33.0153,27.9116,69.87,83,59,14.79
3,Bluff,NZ,2021-03-26 20:05:44,-46.6,168.3333,57.99,81,100,1.01
4,Pacific Grove,US,2021-03-26 20:05:44,36.6177,-121.9166,64.4,39,1,6.91
5,Bengkulu,ID,2021-03-26 20:05:44,-3.8004,102.2655,76.68,89,96,3.96
6,Manitouwadge,CA,2021-03-26 20:05:45,49.1215,-85.8403,30.2,68,75,13.8
7,Tuktoyaktuk,CA,2021-03-26 20:05:45,69.4541,-133.0374,-7.6,77,90,12.66
8,Guerrero Negro,MX,2021-03-26 20:05:45,27.9769,-114.0611,63.7,51,0,16.13
9,Punta Arenas,CL,2021-03-26 20:05:46,-53.15,-70.9167,53.6,58,75,12.66
10,Nikolskoye,RU,2021-03-26 20:05:46,59.7035,30.7861,34.0,93,40,2.68
11,Cidreira,BR,2021-03-26 20:05:46,-30.1811,-50.2056,78.28,77,98,9.93
12,Airai,TL,2021-03-26 20:05:47,-8.9266,125.4092,59.43,92,94,2.04
13,Mataura,NZ,2021-03-26 20:02:48,-46.1927,168.8643,57.99,81,100,1.01
14,Coahuayana,MX,2021-03-26 20:05:47,18.7333,-103.6833,82.4,36,20,9.01
15,Vardo,NO,2021-03-26 20:05:47,70.3705,31.1107,28.4,80,0,25.32
16,Chuy,UY,2021-03-26 20:05:47,-33.6971,-53.4616,72.84,85,100,5.5
17,Kaitangata,NZ,2021-03-26 20:05:48,-46.2817,169.8464,53.85,79,76,2.86
18,Albany,US,2021-03-26 20:02:08,42.6001,-73.9662,75.2,35,75,27.63
19,Dingle,PH,2021-03-26 20:05:48,10.9995,122.6711,75.74,90,68,6.87
20,Sabang,ID,2021-03-26 20:05:48,5.8933,95.3214,82.94,75,99,14.79
21,Mahebourg,MU,2021-03-26 20:05:48,-20.4081,57.7,77.0,94,75,3.44
22,Kodiak,US,2021-03-26 20:05:49,57.79,-152.4072,35.6,48,1,18.41
23,Trairi,BR,2021-03-26 20:05:49,-3.2778,-39.2689,75.06,89,100,5.23
24,Suntar,RU,2021-03-26 20:05:49,62.1444,117.6319,2.73,98,61,4.07
25,Naantali,FI,2021-03-26 20:05:49,60.4674,22.0243,33.8,100,90,4.61
26,Cherskiy,RU,2021-03-26 20:05:50,68.75,161.3,-21.24,99,99,5.21
27,Tasiilaq,GL,2021-03-26 20:05:50,65.6145,-37.6368,5.0,56,83,10.36
28,Derzhavinsk,KZ,2021-03-26 20:05:50,51.1,66.3167,29.52,97,100,7.74
29,Aden,YE,2021-03-26 20:05:50,12.7794,45.0367,78.98,70,100,9.66
30,Codrington,AU,2021-03-26 20:05:51,-38.2667,141.9667,54.39,88,100,7.4
31,Ugoofaaru,MV,2021-03-26 20:05:51,5.6667,73.0,84.36,72,100,11.5
32,Aklavik,CA,2021-03-26 20:05:51,68.2191,-135.0107,-2.2,77,100,8.05
33,Khoy,IR,2021-03-26 20:05:51,38.5504,44.9535,45.03,48,0,7.94
34,Esperance,AU,2021-03-26 20:05:52,-33.8667,121.9,55.4,88,0,10.36
35,Roma,US,2021-03-26 20:03:10,43.2128,-75.4557,51.8,71,90,27.63
36,Dunedin,NZ,2021-03-26 20:05:52,-45.8742,170.5036,61.0,63,58,3.0
37,Lebu,CL,2021-03-26 20:05:52,-37.6167,-73.65,59.86,64,0,18.57
38,Vao,NC,2021-03-26 20:05:53,-22.6667,167.4833,77.81,76,9,13.35
39,Port Alfred,ZA,2021-03-26 20:05:53,-33.5906,26.891,69.37,87,100,6.22
40,Lorengau,PG,2021-03-26 20:05:53,-2.0226,147.2712,79.72,81,100,4.16
41,Cape Town,ZA,2021-03-26 20:01:25,-33.9258,18.4232,66.99,82,40,5.75
42,Jamestown,US,2021-03-26 20:05:46,42.097,-79.2353,42.01,100,90,17.34
43,Hilo,US,2021-03-26 20:03:10,19.7297,-155.09,82.4,47,20,6.91
44,Puerto Ayora,EC,2021-03-26 20:05:53,-0.7393,-90.3518,82.4,74,20,10.36
45,Azuaga,ES,2021-03-26 20:05:54,38.2667,-5.6833,48.24,67,51,6.42
46,Yazman,PK,2021-03-26 20:05:54,29.1212,71.7446,83.57,18,0,7.56
47,Port Elizabeth,ZA,2021-03-26 20:03:17,-33.918,25.5701,68.0,73,20,28.77
48,Lanzhou,CN,2021-03-26 20:05:54,36.0564,103.7922,48.0,43,81,1.43
49,Harper,LR,2021-03-26 20:03:04,4.375,-7.7169,78.96,87,0,6.93
50,Castro,BR,2021-03-26 20:04:17,-24.7911,-50.0119,79.74,61,20,4.74
51,Ilulissat,GL,2021-03-26 20:05:55,69.2167,-51.1,-9.4,49,1,2.3
52,Homer,US,2021-03-26 20:05:55,59.6425,-151.5483,33.8,69,20,8.05
53,Jacksonville Beach,US,2021-03-26 20:05:55,30.2947,-81.3931,89.6,69,20,20.71
54,Hobart,AU,2021-03-26 20:05:55,-42.8794,147.3294,55.4,88,75,8.05
55,Butaritari,KI,2021-03-26 20:05:56,3.0707,172.7902,80.82,80,61,15.26
56,Bathsheba,BB,2021-03-26 20:05:56,13.2167,-59.5167,80.6,57,20,23.02
57,Atuona,PF,2021-03-26 20:05:56,-9.8,-139.0333,80.64,77,14,20.2
58,Caravelas,BR,2021-03-26 20:05:56,-17.7125,-39.2481,80.65,65,0,7.14
59,Yellowknife,CA,2021-03-26 20:05:57,62.456,-114.3525,16.0,66,20,8.05
60,Tiksi,RU,2021-03-26 20:05:57,71.6872,128.8694,7.09,92,100,7.49
61,Hermanus,ZA,2021-03-26 20:05:57,-34.4187,19.2345,63.0,79,0,1.01
62,Provideniya,RU,2021-03-26 20:05:57,64.3833,-173.3,2.07,90,100,14.83
63,Jurado,CO,2021-03-26 20:05:58,7.1053,-77.7641,82.08,79,98,5.7
64,Kudahuvadhoo,MV,2021-03-26 20:05:58,2.6708,72.8944,81.66,74,97,9.57
65,Isangel,VU,2021-03-26 20:05:58,-19.55,169.2667,78.55,83,13,6.11
66,Porbandar,IN,2021-03-26 20:05:59,21.6422,69.6093,80.2,51,0,9.19
67,Bandarbeyla,SO,2021-03-26 20:05:59,9.4942,50.8122,78.85,72,82,14.65
68,Champaign,US,2021-03-26 20:05:59,40.1334,-88.2001,51.8,76,90,8.05
69,Trinidad,BO,2021-03-26 20:06:00,-14.8333,-64.9,89.6,66,40,11.5
70,Fecamp,FR,2021-03-26 20:06:00,49.7579,0.3746,44.6,81,75,18.41
71,Saskylakh,RU,2021-03-26 20:06:00,71.9167,114.0833,-3.55,100,99,3.09
72,Qinzhou,CN,2021-03-26 20:06:00,21.95,108.6167,72.64,81,99,8.39
73,Kismayo,SO,2021-03-26 20:06:01,-0.3582,42.5454,80.38,74,75,16.31
74,Qaanaaq,GL,2021-03-26 20:06:01,77.484,-69.3632,-7.53,64,100,5.48
75,Mount Gambier,AU,2021-03-26 20:06:01,-37.8333,140.7667,53.6,94,36,8.05
76,Faanui,PF,2021-03-26 20:06:01,-16.4833,-151.75,83.26,72,4,21.59
77,Bredasdorp,ZA,2021-03-26 20:06:02,-34.5322,20.0403,64.4,68,0,8.05
78,Thompson,CA,2021-03-26 20:06:02,55.7435,-97.8558,24.8,86,90,3.44
79,Macusani,PE,2021-03-26 20:06:02,-14.0833,-70.4333,47.88,65,91,7.74
80,Vaini,TO,2021-03-26 20:06:02,-21.2,-175.2,80.6,89,40,10.36
81,Hithadhoo,MV,2021-03-26 20:06:03,-0.6,73.0833,82.62,70,92,6.29
82,Poronaysk,RU,2021-03-26 20:06:03,49.2167,143.1167,9.77,94,77,5.06
83,Pingyi,CN,2021-03-26 20:06:04,35.5006,117.6308,52.52,90,100,1.79
84,Marzuq,YE,2021-03-26 20:06:04,14.4,46.4667,65.75,31,82,5.86
85,Ahipara,NZ,2021-03-26 20:06:04,-35.1667,173.1667,65.62,85,85,12.35
86,Soloneshnoye,RU,2021-03-26 20:06:04,51.6544,84.3197,14.77,91,34,4.59
87,Banda Aceh,ID,2021-03-26 20:06:04,5.5577,95.3222,79.41,82,100,10.85
88,Oussouye,SN,2021-03-26 20:06:05,12.485,-16.5469,89.6,73,0,4.61
89,Rikitea,PF,2021-03-26 20:06:05,-23.1203,-134.9692,79.32,71,2,19.19
90,Nha Trang,VN,2021-03-26 20:06:05,12.25,109.1833,78.8,83,20,6.91
91,Bethel,US,2021-03-26 20:06:06,41.3712,-73.414,80.6,29,40,26.46
92,Fort Nelson,CA,2021-03-26 20:06:06,58.8053,-122.7002,32.0,64,75,10.36
93,Palmer,US,2021-03-26 20:06:06,42.1584,-72.3287,71.6,64,40,12.66
94,Coquimbo,CL,2021-03-26 20:04:01,-29.9533,-71.3436,64.4,63,0,14.97
95,Cap Malheureux,MU,2021-03-26 20:01:07,-19.9842,57.6142,77.0,83,18,2.66
96,Ostrovnoy,RU,2021-03-26 20:06:07,68.0531,39.5131,19.2,83,100,11.86
97,Nerchinskiy Zavod,RU,2021-03-26 20:06:07,51.3088,119.61,26.98,97,100,2.13
98,Mafeteng,LS,2021-03-26 20:06:07,-29.823,27.2374,56.25,52,60,2.48
99,Kavieng,PG,2021-03-26 20:06:07,-2.5744,150.7967,81.34,77,100,8.05
100,Sinnamary,GF,2021-03-26 20:06:08,5.3833,-52.95,80.76,75,35,11.61
101,Ambanja,MG,2021-03-26 20:06:08,-13.6833,48.45,75.79,92,100,3.76
102,Alenquer,BR,2021-03-26 20:06:08,-1.9417,-54.7383,86.0,70,20,6.91
103,Busselton,AU,2021-03-26 20:06:09,-33.65,115.3333,46.99,94,61,5.7
104,Avarua,CK,2021-03-26 20:06:09,-21.2078,-159.775,82.4,74,75,16.11
105,Leo,BF,2021-03-26 20:06:09,11.1,-2.1,87.85,11,71,8.25
106,Constantine,DZ,2021-03-26 20:06:09,36.365,6.6147,59.0,36,0,11.5
107,Chapais,CA,2021-03-26 20:06:10,49.7834,-74.8492,33.8,55,1,12.66
108,Gra Liyia,GR,2021-03-26 20:06:10,35.0167,25.6833,52.0,45,2,6.17
109,Broome,US,2021-03-26 20:06:10,42.2506,-75.833,57.2,51,90,26.46
110,Wabana,CA,2021-03-26 20:06:11,47.6332,-52.9481,51.8,81,90,25.32
111,Crisan,RO,2021-03-26 20:06:11,44.9667,29.4667,41.0,56,97,12.66
112,Port Hedland,AU,2021-03-26 20:06:11,-20.3167,118.5667,78.8,94,0,6.91
113,Nanortalik,GL,2021-03-26 20:06:11,60.1432,-45.2371,12.61,64,76,14.63
114,Port Lincoln,AU,2021-03-26 20:06:12,-34.7333,135.8667,58.87,75,4,8.43
115,Mar Del Plata,AR,2021-03-26 20:05:29,-38.0023,-57.5575,64.4,88,90,23.02
116,La Rioja,ES,2021-03-26 20:06:12,42.25,-2.5,54.0,58,90,3.44
117,Zhanaozen,KZ,2021-03-26 20:06:12,43.3,52.8,40.37,67,88,6.53
118,Acajutla,SV,2021-03-26 20:04:30,13.5928,-89.8275,93.2,27,20,9.22
119,Bani,DO,2021-03-26 20:06:13,18.2833,-70.3333,82.99,74,75,13.8
120,Upernavik,GL,2021-03-26 20:06:13,72.7868,-56.1549,-25.64,86,10,6.87
121,Sambava,MG,2021-03-26 20:02:55,-14.2667,50.1667,77.92,88,100,4.83
122,Evensk,RU,2021-03-26 20:06:13,61.95,159.2333,-11.13,94,91,5.93
123,Namatanai,PG,2021-03-26 20:06:14,-3.6667,152.4333,78.91,81,100,6.46
124,Kalmunai,LK,2021-03-26 20:06:14,7.4167,81.8167,79.47,84,100,1.86
125,Souillac,MU,2021-03-26 20:06:14,-20.5167,57.5167,77.0,94,75,3.44
126,Hofn,IS,2021-03-26 20:06:14,64.2539,-15.2082,23.29,62,100,27.78
127,Beringovskiy,RU,2021-03-26 20:06:15,63.05,179.3167,-0.6,93,100,13.78
128,Saint George,US,2021-03-26 20:06:15,37.1041,-113.5841,57.0,33,40,7.45
129,Grindavik,IS,2021-03-26 20:06:15,63.8424,-22.4338,24.8,58,75,6.91
130,San Luis,AR,2021-03-26 20:06:16,-33.295,-66.3356,58.32,62,87,14.67
131,Lavrentiya,RU,2021-03-26 20:06:16,65.5833,-171.0,-1.97,86,100,7.52
132,Saint-Philippe,RE,2021-03-26 20:06:16,-21.3585,55.7679,78.8,83,0,3.44
133,Groton,US,2021-03-26 20:05:07,41.3501,-72.0784,57.0,94,90,17.27
134,Makakilo City,US,2021-03-26 20:06:17,21.3469,-158.0858,80.6,61,40,3.44
135,Kautokeino,NO,2021-03-26 20:06:17,69.0125,23.0412,32.05,91,100,20.38
136,Valday,RU,2021-03-26 20:06:17,57.9747,33.2525,33.37,95,100,0.4
137,Dikson,RU,2021-03-26 20:06:18,73.5069,80.5464,-9.85,100,100,10.74
138,Camana,PE,2021-03-26 20:06:18,-16.6228,-72.7111,72.81,74,98,8.14
139,Patiya,BD,2021-03-26 20:06:18,22.2931,91.9762,71.29,42,15,5.64
140,Syracuse,IT,2021-03-26 20:03:46,37.0881,15.2792,53.6,81,0,5.75
141,Buluang,PH,2021-03-26 20:06:19,13.3068,123.3425,74.08,93,99,2.73
142,Margate,GB,2021-03-26 20:06:19,51.3813,1.3862,44.01,82,100,4.0
143,Tuatapere,NZ,2021-03-26 20:06:20,-46.1333,167.6833,57.99,81,100,1.01
144,Mackay,AU,2021-03-26 20:06:20,-21.15,149.2,71.6,88,1,4.61
145,Alekseyevsk,RU,2021-03-26 20:06:20,57.8406,108.3492,17.51,98,100,1.16
146,Barrow,US,2021-03-26 20:06:21,71.2906,-156.7887,-13.0,92,1,3.58
147,Abomey,BJ,2021-03-26 20:06:21,7.1829,1.9912,81.18,61,54,11.41
148,Nurota,UZ,2021-03-26 20:06:21,40.5614,65.6886,57.2,88,0,6.91
149,Bahia Blanca,AR,2021-03-26 20:06:21,-38.7196,-62.2724,65.41,62,100,15.99
150,Kuytun,RU,2021-03-26 20:06:22,54.3419,101.5036,24.55,88,100,13.8
151,Leningradskiy,RU,2021-03-26 20:06:22,69.3833,178.4167,-24.09,97,67,3.31
152,Matagami,CA,2021-03-26 20:06:22,49.7502,-77.6328,33.8,55,1,11.5
153,Okhotsk,RU,2021-03-26 20:06:23,59.3833,143.3,-10.41,97,42,7.36
154,Hefei,CN,2021-03-26 20:06:23,31.8639,117.2808,59.0,94,75,8.95
155,Berlevag,NO,2021-03-26 20:06:23,70.8578,29.0864,28.4,59,0,34.52
156,Bria,CF,2021-03-26 20:06:23,6.5423,21.9863,70.05,87,90,3.53
157,Khatanga,RU,2021-03-26 20:06:24,71.9667,102.5,-12.41,99,91,2.37
158,Naze,JP,2021-03-26 20:06:24,28.3667,129.4833,63.3,68,2,13.35
159,Nishihara,JP,2021-03-26 20:06:24,26.1842,127.7558,69.8,73,40,17.27
160,Bulgan,MN,2021-03-26 20:02:20,48.8125,103.5347,28.74,74,10,23.64
161,Kruisfontein,ZA,2021-03-26 20:06:25,-34.0033,24.7314,66.99,68,28,3.0
162,Maun,BW,2021-03-26 20:06:25,-19.9833,23.4167,73.4,100,75,2.3
163,Maniitsoq,GL,2021-03-26 20:06:26,65.4167,-52.9,0.84,76,100,20.85
164,Umm Lajj,SA,2021-03-26 20:06:26,25.0213,37.2685,69.1,50,2,14.09
165,Arraial Do Cabo,BR,2021-03-26 20:06:26,-22.9661,-42.0278,89.6,74,0,14.97
166,Tieli,CN,2021-03-26 20:06:26,46.95,128.05,40.03,89,100,9.6
167,Longyearbyen,SJ,2021-03-26 20:05:28,78.2186,15.6401,19.4,63,40,18.41
168,Bougouni,ML,2021-03-26 20:06:27,11.417,-7.479,88.36,11,0,5.3
169,Cabo San Lucas,MX,2021-03-26 20:06:27,22.8909,-109.9124,75.99,53,40,13.8
170,Kolno,PL,2021-03-26 20:06:27,53.4115,21.9291,37.4,100,85,8.61
171,Rawson,AR,2021-03-26 20:06:28,-43.3002,-65.1023,65.59,47,0,10.29
172,Pisco,PE,2021-03-26 20:06:28,-13.7,-76.2167,77.0,57,0,25.32
173,Shizunai,JP,2021-03-26 20:06:28,42.3339,142.3669,32.43,67,19,10.29
174,Geraldton,AU,2021-03-26 20:06:29,-28.7667,114.6,62.6,77,7,11.5
175,Khovu-Aksy,RU,2021-03-26 20:06:29,51.1333,93.6,9.16,83,2,3.27
176,Kapaa,US,2021-03-26 20:06:29,22.0752,-159.319,75.2,88,40,5.75
177,Barguzin,RU,2021-03-26 20:06:30,53.6167,109.6167,20.16,88,100,4.76
178,Vanimo,PG,2021-03-26 20:06:30,-2.6741,141.3028,76.55,89,99,4.85
179,Bowen,AU,2021-03-26 20:06:30,-20.0167,148.2333,73.4,94,43,4.61
180,Rwamagana,RW,2021-03-26 20:06:30,-1.9487,30.4347,68.0,73,75,6.91
181,Nouadhibou,MR,2021-03-26 20:06:31,20.931,-17.0347,68.0,73,20,18.41
182,Georgetown,MY,2021-03-26 20:02:02,5.4112,100.3354,78.01,94,20,1.12
183,Ishigaki,JP,2021-03-26 20:06:31,24.3448,124.1572,73.06,84,3,19.28
184,Camacha,PT,2021-03-26 20:06:31,33.0833,-16.3333,64.4,88,40,12.66
185,Manyana,BW,2021-03-26 20:06:32,-23.4,21.7167,70.0,67,53,11.5
186,Soller,ES,2021-03-26 20:06:32,39.7662,2.7152,59.0,82,20,2.3
187,Manokwari,ID,2021-03-26 20:06:32,-0.8667,134.0833,77.67,85,94,4.27
188,Hasaki,JP,2021-03-26 20:03:54,35.7333,140.8333,37.4,87,0,2.3
189,Padang,ID,2021-03-26 20:04:43,-0.9492,100.3543,77.0,94,90,2.3
190,Vostok,RU,2021-03-26 20:06:32,46.4856,135.8833,23.5,91,100,4.81
191,Warrnambool,AU,2021-03-26 20:06:33,-38.3833,142.4833,55.99,89,99,1.99
192,Maturin,VE,2021-03-26 20:06:33,9.75,-63.1767,87.94,43,100,11.16
193,Gunjur,GM,2021-03-26 20:06:33,13.2019,-16.7339,73.4,68,9,10.36
194,Zhuji,CN,2021-03-26 20:06:34,29.7188,120.2423,66.2,72,0,4.47
195,Rapid Valley,US,2021-03-26 20:06:34,44.0625,-103.1463,46.4,49,75,16.11
196,Kyra,RU,2021-03-26 20:06:34,49.5776,111.9753,30.13,59,100,4.25
197,Victoria,HK,2021-03-26 20:06:10,22.2855,114.1577,73.0,88,99,8.81
